Austin-Round Rock, TX — Degree Distribution Report
============================================================

1990  |  block_groups_in_cbsa_12420_1990_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      15  48045300018271
     2      14  48045300017314
     3      14  48045300019021
     4      13  48045300022053
     5      13  48049100208984
     6      12  480055096014
     7      12  48045300003032
     8      12  48045300024172
     9      11  48020900109021
    10      11  48049100205035
    11      10  480021095013
    12      10  480021095031
    13      10  48045300016044
    14      10  48045300017102
    15      10  48045300017262
    16      10  48045300017267
    17      10  48045300018132
    18      10  48045300018174
    19      10  48049100206012
    20      10  48049100207013

2000  |  block_groups_in_cbsa_12420_2000_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      12  484530018491
     2      12  484530014012
     3      12  484530022053
     4      12  484910208013
     5      11  484530018346
     6      11  484530017672
     7      11  484530003032
     8      11  484530012003
     9      11  484530019102
    10      11  480219503001
    11      11  480219501003
    12      10  482090109021
    13      10  482090101001
    14      10  484530024172
    15      10  484530018174
    16      10  484530019091
    17      10  484530017324
    18      10  484910215012
    19      10  484910205034
    20      10  484910207013

2010  |  block_groups_in_cbsa_12420_2010_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      15  484910205031
     2      15  484910208031
     3      13  484530017801
     4      13  484530018491
     5      12  484530019151
     6      12  484910201082
     7      12  480559601011
     8      11  484530024211
     9      11  484530018342
    10      11  484530022081
    11      11  484910204054
    12      10  482090109051
    13      10  484530019101
    14      10  484530017751
    15      10  484530003061
    16      10  484530018641
    17      10  484530012002
    18      10  484910215083
    19      10  484910208091
    20      10  484910203102

2020  |  block_groups_in_cbsa_12420_2020_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      16  484910205034
     2      13  484530376003
     3      13  480559601041
     4      13  484530019151
     5      12  484530024483
     6      12  484910208211
     7      12  484910201082
     8      12  484910206041
     9      12  484530430001
    10      11  484530333004
    11      11  480219505061
    12      11  484530358001
    13      11  484910208221
    14      11  484910215111
    15      11  484910204054
    16      11  482090109051
    17      11  484910203101
    18      10  484530435003
    19      10  484530454003
    20      10  484530022143
