filename,study_area_code,x_col,y_col,tot_col,error_message
data/shared/processed/dual_graphs/1980/tracts_in_max_city_1248050_1980_march_2020_vintage_connected.json,1248050,BLACK,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/1980/tracts_in_max_city_1274200_1980_march_2020_vintage_connected.json,1274200,BLACK,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/1980/tracts_in_max_city_3639853_1980_march_2020_vintage_connected.json,3639853,BLACK,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/1990/tracts_in_max_city_1232400_1990_march_2020_vintage_connected.json,1232400,BLACK,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/1990/tracts_in_max_city_1248050_1990_march_2020_vintage_connected.json,1248050,BLACK,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/1990/tracts_in_max_city_2446725_1990_march_2020_vintage_connected.json,2446725,BLACK,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/1990/tracts_in_max_city_3639853_1990_march_2020_vintage_connected.json,3639853,BLACK,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/2000/tracts_in_max_city_1232400_2000_march_2020_vintage_connected.json,1232400,BLACK,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/2000/tracts_in_max_city_1271625_2000_march_2020_vintage_connected.json,1271625,BLACK,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/2000/tracts_in_max_city_2446725_2000_march_2020_vintage_connected.json,2446725,BLACK,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/2000/tracts_in_max_city_3639853_2000_march_2020_vintage_connected.json,3639853,BLACK,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/2000/tracts_in_max_city_5377105_2000_march_2020_vintage_connected.json,5377105,BLACK,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/2010/tracts_in_max_city_1711163_2010_march_2020_vintage_connected.json,1711163,BLACK,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/2010/tracts_in_max_city_2446725_2010_march_2020_vintage_connected.json,2446725,BLACK,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/1980/tracts_in_max_city_1248050_1980_march_2020_vintage_connected.json,1248050,POC,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/1980/tracts_in_max_city_1274200_1980_march_2020_vintage_connected.json,1274200,POC,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/1980/tracts_in_max_city_3639853_1980_march_2020_vintage_connected.json,3639853,POC,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/1990/tracts_in_max_city_1232400_1990_march_2020_vintage_connected.json,1232400,POC,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/1990/tracts_in_max_city_1248050_1990_march_2020_vintage_connected.json,1248050,POC,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/1990/tracts_in_max_city_2446725_1990_march_2020_vintage_connected.json,2446725,POC,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/1990/tracts_in_max_city_3639853_1990_march_2020_vintage_connected.json,3639853,POC,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/2000/tracts_in_max_city_1232400_2000_march_2020_vintage_connected.json,1232400,POC,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/2000/tracts_in_max_city_1271625_2000_march_2020_vintage_connected.json,1271625,POC,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/2000/tracts_in_max_city_2446725_2000_march_2020_vintage_connected.json,2446725,POC,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/2000/tracts_in_max_city_3639853_2000_march_2020_vintage_connected.json,3639853,POC,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/2000/tracts_in_max_city_5377105_2000_march_2020_vintage_connected.json,5377105,POC,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/2010/tracts_in_max_city_1711163_2010_march_2020_vintage_connected.json,1711163,POC,WHITE,TOTPOP,division by zero
data/shared/processed/dual_graphs/2010/tracts_in_max_city_2446725_2010_march_2020_vintage_connected.json,2446725,POC,WHITE,TOTPOP,division by zero
