fid,BNA80,STATE80,COUNTY80,GISJOIN,GISJOIN2,NHGISST,NHGISCTY,SHAPE_AREA,SHAPE_LEN,JOIN_KEY,GEOID,STATEFP,COUNTYFP,WHITE,BLACK,TOTPOP,POC
39,,,,G17003104112,"17003104112","170","0310",412985.066853,2848.63423134,G17003104112,"17003104112","17","031",1979,183,2374,395
40,,,,G17003106709,"17003106709","170","0310",324002.551905,2431.11419259,G17003106709,"17003106709","17","031",7,2208,2225,2218
41,,,,G17003106707,"17003106707","170","0310",326291.864289,2461.3495299,G17003106707,"17003106707","17","031",40,2918,2989,2949
44,,,,G17003104908,"17003104908","170","0310",1070630.26399,4651.40920328,G17003104908,"17003104908","17","031",123,5215,5367,5244
45,,,,G17003107203,"17003107203","170","0310",1272181.03538,5038.11168911,G17003107203,"17003107203","17","031",4055,205,4352,297
46,,,,G17003104907,"17003104907","170","0310",655150.981108,3225.10474986,G17003104907,"17003104907","17","031",41,4295,4362,4321
47,,,,G17003107307,"17003107307","170","0310",996081.234473,4103.38526766,G17003107307,"17003107307","17","031",47,3066,3138,3091
48,,,,G17003107207,"17003107207","170","0310",1045972.96138,4248.24289643,G17003107207,"17003107207","17","031",2495,969,3552,1057
49,,,,G17003104909,"17003104909","170","0310",2042606.55095,5830.58802339,G17003104909,"17003104909","17","031",237,12265,12661,12424
50,,,,G17003107206,"17003107206","170","0310",579507.453352,3066.78798503,G17003107206,"17003107206","17","031",1907,33,1976,69
51,,,,G17003107205,"17003107205","170","0310",1029405.95638,4241.78815851,G17003107205,"17003107205","17","031",2289,2,2304,15
52,,,,G17003107503,"17003107503","170","0310",665312.628935,3259.79025181,G17003107503,"17003107503","17","031",2647,2,2686,39
53,,,,G17003107401,"17003107401","170","0310",899750.21005,5517.78256958,G17003107401,"17003107401","17","031",3427,0,3493,66
115,,,,G17003106121,"17003106121","170","0310",329514.14883,2447.27834814,G17003106121,"17003106121","17","031",41,2510,2719,2678
116,,,,G17003104113,"17003104113","170","0310",407817.952575,2843.72112864,G17003104113,"17003104113","17","031",672,14,772,100
117,,,,G17003106304,"17003106304","170","0310",665480.561177,3257.7947959,G17003106304,"17003106304","17","031",3703,0,4004,301
118,,,,G17003106804,"17003106804","170","0310",321465.535411,2429.46302878,G17003106804,"17003106804","17","031",20,2583,2690,2670
120,,,,G17003106306,"17003106306","170","0310",347327.444687,2526.9208723,G17003106306,"17003106306","17","031",142,154,401,259
121,,,,G17003104006,"17003104006","170","0310",295638.453953,3038.27467105,G17003104006,"17003104006","17","031",5,1254,1264,1259
122,,,,G17003106805,"17003106805","170","0310",334396.521571,2451.89522426,G17003106805,"17003106805","17","031",15,3009,3076,3061
127,,,,G17003106704,"17003106704","170","0310",329206.626179,2469.50669451,G17003106704,"17003106704","17","031",73,2921,3090,3017
128,,,,G17003106705,"17003106705","170","0310",643810.251287,4046.32255128,G17003106705,"17003106705","17","031",52,2135,2254,2202
129,,,,G17003106307,"17003106307","170","0310",661281.992028,3284.67692784,G17003106307,"17003106307","17","031",2798,0,3737,939
130,,,,G17003106309,"17003106309","170","0310",660354.647956,3251.30498802,G17003106309,"17003106309","17","031",2959,0,3180,221
143,,,,G17003105809,"17003105809","170","0310",490113.449136,3282.61874614,G17003105809,"17003105809","17","031",3692,22,4011,319
146,,,,G17003106114,"17003106114","170","0310",320303.417373,2445.83631557,G17003106114,"17003106114","17","031",2108,0,3289,1181
154,,,,G17003106120,"17003106120","170","0310",321814.050848,2442.22656289,G17003106120,"17003106120","17","031",91,3164,3427,3336
156,,,,G17003106703,"17003106703","170","0310",336217.875443,2465.83005169,G17003106703,"17003106703","17","031",60,2557,2721,2661
157,,,,G17003106308,"17003106308","170","0310",668614.894311,3261.4557547,G17003106308,"17003106308","17","031",3748,0,4090,342
159,,,,G17003104114,"17003104114","170","0310",415107.706807,2872.01368451,G17003104114,"17003104114","17","031",786,452,1512,726
200,,,,G17003105203,"17003105203","170","0310",957586.589245,4403.28417074,G17003105203,"17003105203","17","031",4601,5,5423,822
202,,,,G17003103507,"17003103507","170","0310",229463.95839,2025.83594496,G17003103507,"17003103507","17","031",11,1221,1237,1226
203,,,,G17003103515,"17003103515","170","0310",166113.138788,2054.81551207,G17003103515,"17003103515","17","031",3,5361,5430,5427
204,,,,G17003103512,"17003103512","170","0310",107503.630976,1968.94045027,G17003103512,"17003103512","17","031",12,927,939,927
217,,,,G17003104004,"17003104004","170","0310",331480.046007,2469.74604142,G17003104004,"17003104004","17","031",21,4453,4534,4513
218,,,,G17003106702,"17003106702","170","0310",337725.131145,2456.69431362,G17003106702,"17003106702","17","031",35,2990,3062,3027
220,,,,G17003104007,"17003104007","170","0310",158467.44464,1989.21754728,G17003104007,"17003104007","17","031",10,2263,2277,2267
232,,,,G17003106116,"17003106116","170","0310",312863.103403,2389.83951848,G17003106116,"17003106116","17","031",1184,101,2157,973
233,,,,G17003104107,"17003104107","170","0310",263556.648614,2106.24898562,G17003104107,"17003104107","17","031",1365,761,2463,1098
234,,,,G17003106119,"17003106119","170","0310",656581.069928,3243.31859895,G17003106119,"17003106119","17","031",1015,1704,4791,3776
