cbsa,year,cluster,gisjoin,geoid,statefp,countyfp,black_population,total_population,black_share
16980,1980,hyde_park,G17003103101,17003103101,17,031,0,411,0.0
16980,1980,hyde_park,G17003103303,17003103303,17,031,3224,3233,0.99721620785648
16980,1980,hyde_park,G17003103304,17003103304,17,031,49,56,0.875
16980,1980,hyde_park,G17003103305,17003103305,17,031,65,196,0.33163265306122447
16980,1980,hyde_park,G17003103402,17003103402,17,031,284,5319,0.0533934950178605
16980,1980,hyde_park,G17003103403,17003103403,17,031,114,1388,0.08213256484149856
16980,1980,hyde_park,G17003103404,17003103404,17,031,101,1606,0.06288916562889166
16980,1980,hyde_park,G17003103405,17003103405,17,031,367,1785,0.20560224089635853
16980,1980,hyde_park,G17003103406,17003103406,17,031,2280,2292,0.9947643979057592
16980,1980,hyde_park,G17003103501,17003103501,17,031,651,2441,0.2666939778779189
16980,1980,hyde_park,G17003103502,17003103502,17,031,2931,3083,0.9506973726889394
16980,1980,hyde_park,G17003103503,17003103503,17,031,1184,1366,0.8667642752562226
16980,1980,hyde_park,G17003103504,17003103504,17,031,2739,2766,0.9902386117136659
16980,1980,hyde_park,G17003103505,17003103505,17,031,113,518,0.21814671814671815
16980,1980,hyde_park,G17003103506,17003103506,17,031,855,2702,0.3164322723908216
16980,1980,hyde_park,G17003103507,17003103507,17,031,1221,1237,0.9870654810024252
16980,1980,hyde_park,G17003103508,17003103508,17,031,314,318,0.9874213836477987
16980,1980,hyde_park,G17003103509,17003103509,17,031,105,105,1.0
16980,1980,hyde_park,G17003103510,17003103510,17,031,3225,3519,0.9164535379369139
16980,1980,hyde_park,G17003103511,17003103511,17,031,7507,7586,0.9895860796203533
16980,1980,hyde_park,G17003103512,17003103512,17,031,927,939,0.987220447284345
16980,1980,hyde_park,G17003103513,17003103513,17,031,1792,1827,0.9808429118773946
16980,1980,hyde_park,G17003103514,17003103514,17,031,1844,1863,0.989801395598497
16980,1980,hyde_park,G17003103515,17003103515,17,031,5361,5430,0.987292817679558
16980,1980,hyde_park,G17003103601,17003103601,17,031,992,1034,0.9593810444874274
16980,1980,hyde_park,G17003103602,17003103602,17,031,5506,5543,0.9933249143063323
16980,1980,hyde_park,G17003103603,17003103603,17,031,2573,2586,0.9949729311678268
16980,1980,hyde_park,G17003103604,17003103604,17,031,4096,4169,0.9824898057088031
16980,1980,hyde_park,G17003103605,17003103605,17,031,3390,3416,0.9923887587822015
16980,1980,hyde_park,G17003103701,17003103701,17,031,1507,1552,0.9710051546391752
16980,1980,hyde_park,G17003103702,17003103702,17,031,1707,1758,0.9709897610921502
16980,1980,hyde_park,G17003103703,17003103703,17,031,1156,1164,0.993127147766323
16980,1980,hyde_park,G17003103704,17003103704,17,031,1337,1358,0.9845360824742269
16980,1980,hyde_park,G17003103801,17003103801,17,031,3101,3151,0.9841320215804507
16980,1980,hyde_park,G17003103802,17003103802,17,031,1999,2020,0.9896039603960396
16980,1980,hyde_park,G17003103803,17003103803,17,031,4716,4755,0.9917981072555205
16980,1980,hyde_park,G17003103804,17003103804,17,031,1756,1780,0.9865168539325843
16980,1980,hyde_park,G17003103805,17003103805,17,031,2976,3029,0.9825024760647079
16980,1980,hyde_park,G17003103806,17003103806,17,031,3651,3694,0.9883595018949648
16980,1980,hyde_park,G17003103807,17003103807,17,031,2028,2070,0.9797101449275363
16980,1980,hyde_park,G17003103808,17003103808,17,031,2419,2453,0.9861394211169996
16980,1980,hyde_park,G17003103809,17003103809,17,031,2315,2349,0.9855257556406982
16980,1980,hyde_park,G17003103810,17003103810,17,031,3101,3105,0.9987117552334943
16980,1980,hyde_park,G17003103811,17003103811,17,031,666,675,0.9866666666666667
16980,1980,hyde_park,G17003103812,17003103812,17,031,2823,2837,0.9950652097285866
16980,1980,hyde_park,G17003103813,17003103813,17,031,414,416,0.9951923076923077
16980,1980,hyde_park,G17003103814,17003103814,17,031,3049,3098,0.9841833440929632
16980,1980,hyde_park,G17003103815,17003103815,17,031,1807,1826,0.9895947426067908
16980,1980,hyde_park,G17003103816,17003103816,17,031,2138,2180,0.9807339449541285
16980,1980,hyde_park,G17003103817,17003103817,17,031,5633,5681,0.991550783312797
16980,1980,hyde_park,G17003103818,17003103818,17,031,3036,3090,0.9825242718446602
16980,1980,hyde_park,G17003103819,17003103819,17,031,1787,1819,0.9824079164376031
16980,1980,hyde_park,G17003103820,17003103820,17,031,3681,3713,0.9913816321034205
16980,1980,hyde_park,G17003103901,17003103901,17,031,2082,2114,0.9848628192999054
16980,1980,hyde_park,G17003103902,17003103902,17,031,2321,2357,0.9847263470513364
16980,1980,hyde_park,G17003103903,17003103903,17,031,3196,3324,0.9614921780986763
16980,1980,hyde_park,G17003103904,17003103904,17,031,3275,3409,0.9606922851276034
16980,1980,hyde_park,G17003103905,17003103905,17,031,1521,1926,0.7897196261682243
16980,1980,hyde_park,G17003103906,17003103906,17,031,822,1875,0.4384
16980,1980,hyde_park,G17003103907,17003103907,17,031,3691,6969,0.5296312239919644
16980,1980,hyde_park,G17003104001,17003104001,17,031,3213,3262,0.9849785407725322
16980,1980,hyde_park,G17003104002,17003104002,17,031,5889,5958,0.9884189325276939
16980,1980,hyde_park,G17003104003,17003104003,17,031,3389,3424,0.9897780373831776
16980,1980,hyde_park,G17003104004,17003104004,17,031,4453,4534,0.9821349801499779
16980,1980,hyde_park,G17003104005,17003104005,17,031,3534,3560,0.9926966292134831
16980,1980,hyde_park,G17003104006,17003104006,17,031,1254,1264,0.9920886075949367
16980,1980,hyde_park,G17003104007,17003104007,17,031,2263,2277,0.9938515590689504
16980,1980,hyde_park,G17003104008,17003104008,17,031,7555,7656,0.9868077324973876
16980,1980,hyde_park,G17003104101,17003104101,17,031,742,1826,0.4063526834611172
16980,1980,hyde_park,G17003104102,17003104102,17,031,756,1544,0.4896373056994819
16980,1980,hyde_park,G17003104103,17003104103,17,031,735,903,0.813953488372093
16980,1980,hyde_park,G17003104104,17003104104,17,031,611,660,0.9257575757575758
16980,1980,hyde_park,G17003104105,17003104105,17,031,2719,3105,0.8756843800322062
16980,1980,hyde_park,G17003104106,17003104106,17,031,1160,2527,0.4590423426988524
16980,1980,hyde_park,G17003104107,17003104107,17,031,761,2463,0.3089727974015428
16980,1980,hyde_park,G17003104108,17003104108,17,031,1489,3565,0.417671809256662
16980,1980,hyde_park,G17003104109,17003104109,17,031,1121,4031,0.27809476556685686
16980,1980,hyde_park,G17003104110,17003104110,17,031,601,3465,0.17344877344877344
16980,1980,hyde_park,G17003104111,17003104111,17,031,144,2451,0.0587515299877601
16980,1980,hyde_park,G17003104112,17003104112,17,031,183,2374,0.07708508845829823
16980,1980,hyde_park,G17003104113,17003104113,17,031,14,772,0.018134715025906734
16980,1980,hyde_park,G17003104114,17003104114,17,031,452,1512,0.29894179894179895
16980,1980,hyde_park,G17003104201,17003104201,17,031,910,1075,0.8465116279069768
16980,1980,hyde_park,G17003104202,17003104202,17,031,2085,2343,0.8898847631241997
16980,1980,hyde_park,G17003104203,17003104203,17,031,1883,2240,0.840625
16980,1980,hyde_park,G17003104204,17003104204,17,031,1789,2310,0.7744588744588745
16980,1980,hyde_park,G17003104205,17003104205,17,031,3699,3756,0.9848242811501597
16980,1980,hyde_park,G17003104206,17003104206,17,031,3300,3339,0.9883198562443846
16980,1980,hyde_park,G17003104207,17003104207,17,031,5729,5808,0.9863980716253443
16980,1980,hyde_park,G17003104208,17003104208,17,031,3513,3555,0.9881856540084388
16980,1980,hyde_park,G17003104209,17003104209,17,031,3979,4036,0.9858771060455896
16980,1980,hyde_park,G17003104210,17003104210,17,031,3098,3192,0.9705513784461153
16980,1980,hyde_park,G17003104211,17003104211,17,031,2608,2675,0.9749532710280374
16980,1980,hyde_park,G17003104212,17003104212,17,031,1967,1994,0.9864593781344032
16980,1980,hyde_park,G17003104301,17003104301,17,031,12112,12735,0.951079701609737
16980,1980,hyde_park,G17003104302,17003104302,17,031,6530,7023,0.929802078883668
16980,1980,hyde_park,G17003104303,17003104303,17,031,4341,4393,0.9881629865695425
16980,1980,hyde_park,G17003104304,17003104304,17,031,3965,4114,0.9637822070977151
16980,1980,hyde_park,G17003104305,17003104305,17,031,5818,5959,0.9763383117972815
16980,1980,hyde_park,G17003104306,17003104306,17,031,2576,2778,0.9272858171346292
16980,1980,hyde_park,G17003104307,17003104307,17,031,2550,2774,0.9192501802451334
16980,1980,hyde_park,G17003104308,17003104308,17,031,2431,2636,0.9222306525037937
16980,1980,hyde_park,G17003104309,17003104309,17,031,2518,2585,0.9740812379110252
16980,1980,hyde_park,G17003104310,17003104310,17,031,1513,1558,0.9711168164313222
16980,1980,hyde_park,G17003104311,17003104311,17,031,5748,5956,0.9650772330423103
16980,1980,hyde_park,G17003104312,17003104312,17,031,4215,4399,0.9581723118890657
16980,1980,hyde_park,G17003104313,17003104313,17,031,12233,12811,0.9548825228319413
16980,1980,hyde_park,G17003104314,17003104314,17,031,6762,8022,0.8429319371727748
16980,1980,hyde_park,G17003104401,17003104401,17,031,10297,10463,0.9841345694351524
16980,1980,hyde_park,G17003104402,17003104402,17,031,9984,10160,0.9826771653543307
16980,1980,hyde_park,G17003104403,17003104403,17,031,5487,5640,0.972872340425532
16980,1980,hyde_park,G17003104404,17003104404,17,031,4384,4454,0.9842837898518186
16980,1980,hyde_park,G17003104406,17003104406,17,031,2020,2093,0.965121834687052
16980,1980,hyde_park,G17003104407,17003104407,17,031,1879,1937,0.9700567888487351
16980,1980,hyde_park,G17003104408,17003104408,17,031,2199,2252,0.9764653641207816
16980,1980,hyde_park,G17003104409,17003104409,17,031,3660,3726,0.9822866344605475
16980,1980,hyde_park,G17003104501,17003104501,17,031,541,555,0.9747747747747748
16980,1980,hyde_park,G17003104502,17003104502,17,031,7784,8189,0.9505434118940042
16980,1980,hyde_park,G17003104503,17003104503,17,031,4860,5048,0.9627575277337559
16980,1980,hyde_park,G17003104601,17003104601,17,031,1649,5607,0.29409666488318176
16980,1980,hyde_park,G17003104602,17003104602,17,031,10,4164,0.0024015369836695487
16980,1980,hyde_park,G17003104603,17003104603,17,031,4879,10285,0.4743801652892562
16980,1980,hyde_park,G17003104604,17003104604,17,031,4129,4740,0.8710970464135022
16980,1980,hyde_park,G17003104605,17003104605,17,031,7699,8141,0.9457069156123327
16980,1980,hyde_park,G17003104606,17003104606,17,031,324,1725,0.18782608695652173
16980,1980,hyde_park,G17003104607,17003104607,17,031,1195,5128,0.2330343213728549
16980,1980,hyde_park,G17003104608,17003104608,17,031,853,1265,0.6743083003952569
16980,1980,hyde_park,G17003104609,17003104609,17,031,249,2983,0.08347301374455246
16980,1980,hyde_park,G17003104610,17003104610,17,031,786,2384,0.3296979865771812
