fid,NHGISST,NHGISCTY,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,JOIN_KEY,GEOID,STATEFP,COUNTYFP,WHITE,BLACK,TOTPOP,POC
112,"180","0890",G18008900201,"18008900201",1434273.89316,8374.37922701,G18008900201,"18008900201","18","089",4778,9,5081,303
122,"180","0890",G18008900402,"18008900402",762618.063203,4091.56287769,G18008900402,"18008900402","18","089",3137,2,3629,492
153,"180","0890",G18008900401,"18008900401",3840687.72334,13277.42944,G18008900401,"18008900401","18","089",1331,1,1619,288
165,"180","0890",G18008900202,"18008900202",16820735.8906,29198.1442523,G18008900202,"18008900202","18","089",5698,37,6461,763
331,"170","0310",G17003108212,"17003108212",2961938.74557,8266.82801524,G17003108212,"17003108212","17","031",2636,1726,5947,3311
370,"170","0310",G17003106904,"17003106904",658927.568831,3241.58211944,G17003106904,"17003106904","17","031",18,4130,4160,4142
371,"170","0310",G17003107002,"17003107002",1578093.62594,7761.89025513,G17003107002,"17003107002","17","031",4859,11,5464,605
372,"170","0310",G17003105001,"17003105001",2621691.14699,6426.55187255,G17003105001,"17003105001","17","031",60,4722,4835,4775
373,"170","0310",G17003105203,"17003105203",957586.589245,4403.28417074,G17003105203,"17003105203","17","031",2973,1,5187,2214
374,"170","0310",G1700310826401,"1700310826401",3221028.41739,9424.77244139,G1700310826401,"1700310826401","17","031",1939,1790,4021,2082
393,"170","0310",G17003104211,"17003104211",1482282.7387,6181.380993,G17003104211,"17003104211","17","031",9,1649,1662,1653
398,"170","0310",G17003105905,"17003105905",591563.389403,3337.0410899,G17003105905,"17003105905","17","031",787,1,1393,606
399,"170","0310",G17003105502,"17003105502",5462632.40945,12380.3053397,G17003105502,"17003105502","17","031",2556,38,3052,496
400,"170","0310",G17003105205,"17003105205",996819.943308,4925.43786559,G17003105205,"17003105205","17","031",3260,0,3884,624
401,"170","0310",G17003105103,"17003105103",2993419.203,7195.97634133,G17003105103,"17003105103","17","031",79,6222,6370,6291
404,"170","0310",G17003103601,"17003103601",119345.080067,1527.73486184,G17003103601,"17003103601","17","031",19,989,1019,1000
472,"170","0310",G17003103305,"17003103305",802416.592836,3709.41180138,G17003103305,"17003103305","17","031",26,9,61,35
473,"170","0310",G17003103501,"17003103501",571457.327819,3156.47728742,G17003103501,"17003103501","17","031",314,1532,2088,1774
491,"170","0310",G17003105201,"17003105201",2731535.45904,8735.33526204,G17003105201,"17003105201","17","031",677,0,1924,1247
542,"170","0310",G17003104110,"17003104110",946560.767834,4490.39861473,G17003104110,"17003104110","17","031",2169,818,3361,1192
543,"170","0310",G17003104201,"17003104201",947720.62099,4668.37362208,G17003104201,"17003104201","17","031",19,1450,1494,1475
544,"170","0310",G17003104301,"17003104301",959217.75163,4238.31198832,G17003104301,"17003104301","17","031",152,10052,10332,10180
