fid,STATEFP00,COUNTYFP00,TRACTCE00,CTIDFP00,NAME00,NAMELSAD00,MTFCC00,FUNCSTAT00,ALAND00,AWATER00,INTPTLAT00,INTPTLON00,JOIN_KEY,STATEFP,COUNTYFP,GEOID,GISJOIN,WHITE,BLACK,TOTPOP,POC
307,"17","031","823500","17031823500","8235",Census Tract 8235,G5020,S,1112778,0,"+41.6656040",-087.6831788,"17031823500","17","031","17031823500",G17031823500,2594,451,4629,2035
308,"17","031","822702","17031822702","8227.02",Census Tract 8227.02,G5020,S,1298804,0,"+41.7056906",-087.7305798,"17031822702","17","031","17031822702",G17031822702,3332,67,3687,355
309,"17","031","822701","17031822701","8227.01",Census Tract 8227.01,G5020,S,1078063,0,"+41.7123761",-087.7303270,"17031822701","17","031","17031822701",G17031822701,3655,149,4198,543
311,"17","031","821900","17031821900","8219",Census Tract 8219,G5020,S,1902374,0,"+41.7122275",-087.6970001,"17031821900","17","031","17031821900",G17031821900,4664,326,5313,649
328,"17","031","380600","17031380600","3806",Census Tract 3806,G5020,S,90262,0,"+41.8147517",-087.6276515,"17031380600","17","031","17031380600",G17031380600,8,1073,1099,1091
329,"17","031","380700","17031380700","3807",Census Tract 3807,G5020,S,244481,0,"+41.8138060",-087.6237680,"17031380700","17","031","17031380700",G17031380700,18,1961,2006,1988
330,"17","031","380800","17031380800","3808",Census Tract 3808,G5020,S,231912,0,"+41.8138794",-087.6190244,"17031380800","17","031","17031380800",G17031380800,8,1047,1074,1066
331,"17","031","380900","17031380900","3809",Census Tract 3809,G5020,S,258641,0,"+41.8139602",-087.6141404,"17031380900","17","031","17031380900",G17031380900,18,2056,2121,2103
332,"17","031","381000","17031381000","3810",Census Tract 3810,G5020,S,247098,0,"+41.8140489",-087.6091135,"17031381000","17","031","17031381000",G17031381000,2,926,929,927
333,"17","031","381100","17031381100","3811",Census Tract 3811,G5020,S,82249,0,"+41.8104077",-087.6090299,"17031381100","17","031","17031381100",G17031381100,0,356,366,366
334,"17","031","381200","17031381200","3812",Census Tract 3812,G5020,S,258554,0,"+41.8085114",-087.6139992,"17031381200","17","031","17031381200",G17031381200,5,2240,2288,2283
335,"17","031","381300","17031381300","3813",Census Tract 3813,G5020,S,52513,0,"+41.8093665",-087.6173715,"17031381300","17","031","17031381300",G17031381300,0,129,133,133
336,"17","031","381400","17031381400","3814",Census Tract 3814,G5020,S,316691,0,"+41.8076202",-087.6214298,"17031381400","17","031","17031381400",G17031381400,4,1243,1271,1267
337,"17","031","381500","17031381500","3815",Census Tract 3815,G5020,S,108677,0,"+41.8101927",-087.6228619,"17031381500","17","031","17031381500",G17031381500,1,1444,1462,1461
338,"17","031","381600","17031381600","3816",Census Tract 3816,G5020,S,99927,0,"+41.8111214",-087.6275493,"17031381600","17","031","17031381600",G17031381600,1,470,471,470
339,"17","031","381700","17031381700","3817",Census Tract 3817,G5020,S,196803,0,"+41.8055502",-087.6274463,"17031381700","17","031","17031381700",G17031381700,6,1512,1532,1526
340,"17","031","381800","17031381800","3818",Census Tract 3818,G5020,S,319368,0,"+41.8038481",-087.6211978,"17031381800","17","031","17031381800",G17031381800,9,1596,1624,1615
341,"17","031","381900","17031381900","3819",Census Tract 3819,G5020,S,172690,0,"+41.8039557",-087.6138885,"17031381900","17","031","17031381900",G17031381900,23,1401,1443,1420
358,"17","031","491100","17031491100","4911",Census Tract 4911,G5020,S,1322860,0,"+41.6997569",-087.6376956,"17031491100","17","031","17031491100",G17031491100,20,5110,5198,5178
359,"17","031","491200","17031491200","4912",Census Tract 4912,G5020,S,649490,0,"+41.6887765",-087.6374383,"17031491200","17","031","17031491200",G17031491200,15,2651,2709,2694
360,"17","031","510100","17031510100","5101",Census Tract 5101,G5020,S,2141282,231780,"+41.7126213",-087.5500748,"17031510100","17","031","17031510100",G17031510100,761,110,3741,2980
361,"17","031","510200","17031510200","5102",Census Tract 5102,G5020,S,1279953,0,"+41.7142531",-087.5600413,"17031510200","17","031","17031510200",G17031510200,253,2731,3473,3220
362,"17","031","520200","17031520200","5202",Census Tract 5202,G5020,S,1108034,102317,"+41.7132589",-087.5396184,"17031520200","17","031","17031520200",G17031520200,543,92,4289,3746
363,"17","031","520300","17031520300","5203",Census Tract 5203,G5020,S,956742,0,"+41.7011232",-087.5395572,"17031520300","17","031","17031520300",G17031520300,1559,49,6272,4713
364,"17","031","670100","17031670100","6701",Census Tract 6701,G5020,S,326893,0,"+41.7904937",-087.6572084,"17031670100","17","031","17031670100",G17031670100,6,1922,1971,1965
365,"17","031","670200","17031670200","6702",Census Tract 6702,G5020,S,326541,0,"+41.7904247",-087.6620626,"17031670200","17","031","17031670200",G17031670200,17,1953,2023,2006
366,"17","031","670300","17031670300","6703",Census Tract 6703,G5020,S,326332,0,"+41.7903576",-087.6669167,"17031670300","17","031","17031670300",G17031670300,16,1854,1936,1920
367,"17","031","670400","17031670400","6704",Census Tract 6704,G5020,S,326418,0,"+41.7902996",-087.6717698,"17031670400","17","031","17031670400",G17031670400,3,2200,2255,2252
368,"17","031","670500","17031670500","6705",Census Tract 6705,G5020,S,622492,0,"+41.7865780",-087.6764044,"17031670500","17","031","17031670500",G17031670500,5,1573,1632,1627
369,"17","031","670600","17031670600","6706",Census Tract 6706,G5020,S,327032,0,"+41.7830054",-087.6715772,"17031670600","17","031","17031670600",G17031670600,3,2196,2257,2254
370,"17","031","670700","17031670700","6707",Census Tract 6707,G5020,S,326730,0,"+41.7830686",-087.6667315,"17031670700","17","031","17031670700",G17031670700,3,1925,1948,1945
371,"17","031","670800","17031670800","6708",Census Tract 6708,G5020,S,326296,0,"+41.7831442",-087.6618790,"17031670800","17","031","17031670800",G17031670800,6,2001,2031,2025
372,"17","031","670900","17031670900","6709",Census Tract 6709,G5020,S,326294,0,"+41.7832123",-087.6570220,"17031670900","17","031","17031670900",G17031670900,6,1485,1518,1512
373,"17","031","671000","17031671000","6710",Census Tract 6710,G5020,S,326302,0,"+41.7759317",-087.6568304,"17031671000","17","031","17031671000",G17031671000,1,508,516,515
374,"17","031","671100","17031671100","6711",Census Tract 6711,G5020,S,245617,0,"+41.7767815",-087.6617118,"17031671100","17","031","17031671100",G17031671100,8,1360,1431,1423
381,"17","031","826303","17031826303","8263.03",Census Tract 8263.03,G5020,S,1560655,0,"+41.6134074",-087.5914302,"17031826303","17","031","17031826303",G17031826303,702,3308,4177,3475
383,"17","031","823303","17031823303","8233.03",Census Tract 8233.03,G5020,S,2003888,0,"+41.6777587",-087.7279298,"17031823303","17","031","17031823303",G17031823303,4069,185,4739,670
405,"17","031","382000","17031382000","3820",Census Tract 3820,G5020,S,328645,0,"+41.8058538",-087.6089285,"17031382000","17","031","17031382000",G17031382000,19,2591,2693,2674
406,"17","031","390100","17031390100","3901",Census Tract 3901,G5020,S,482753,360058,"+41.8135545",-087.5905449,"17031390100","17","031","17031390100",G17031390100,11,1188,1238,1227
407,"17","031","390200","17031390200","3902",Census Tract 3902,G5020,S,303791,0,"+41.8130410",-087.5994765,"17031390200","17","031","17031390200",G17031390200,20,1522,1581,1561
408,"17","031","390300","17031390300","3903",Census Tract 3903,G5020,S,327049,0,"+41.8132006",-087.6042089,"17031390300","17","031","17031390300",G17031390300,37,2660,2741,2704
409,"17","031","390400","17031390400","3904",Census Tract 3904,G5020,S,326308,0,"+41.8059243",-087.6040582,"17031390400","17","031","17031390400",G17031390400,89,2693,2883,2794
410,"17","031","390500","17031390500","3905",Census Tract 3905,G5020,S,326518,0,"+41.8059781",-087.5991987,"17031390500","17","031","17031390500",G17031390500,339,1325,1792,1453
411,"17","031","390600","17031390600","3906",Census Tract 3906,G5020,S,324629,0,"+41.8060181",-087.5943504,"17031390600","17","031","17031390600",G17031390600,772,1074,2035,1263
412,"17","031","390700","17031390700","3907",Census Tract 3907,G5020,S,610276,3224,"+41.8047730",-087.5874748,"17031390700","17","031","17031390700",G17031390700,1647,3438,6093,4446
413,"17","031","400100","17031400100","4001",Census Tract 4001,G5020,S,665796,0,"+41.8002466",-087.6161802,"17031400100","17","031","17031400100",G17031400100,1,1775,1804,1803
414,"17","031","400200","17031400200","4002",Census Tract 4002,G5020,S,194675,0,"+41.7982949",-087.6272408,"17031400200","17","031","17031400200",G17031400200,4,1019,1041,1037
