Chicago-Naperville-Elgin, IL-IN-WI (block groups) — Degree Report
============================================================

1990  |  block_groups_in_cbsa_16980_1990_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      30  180089002029
     2      25  18008900102989
     3      21  170031056021
     4      21  17003108209011
     5      17  170031030139
     6      16  170031004011
     7      16  17004308412031
     8      16  17019708802021
     9      15  170031013021
    10      15  170031040031
    11      15  170031054017
    12      15  17003108041051
    13      15  17003108202021
    14      15  17003108285055
    15      15  18008900432024
    16      14  170031051049
    17      14  170031066094
    18      14  170031074045
    19      14  17003108043071
    20      14  17019708801041

2000  |  block_groups_in_cbsa_16980_2000_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      77  170310619001
     2      38  170978630011
     3      22  180890202004
     4      21  170318209011
     5      20  170318208003
     6      17  170318202021
     7      16  170310401001
     8      16  180890102021
     9      15  170318113022
    10      15  170318041051
    11      15  170318285055
    12      15  170311302001
    13      14  171978802021
    14      14  170316609004
    15      14  170318043071
    16      14  170314003001
    17      14  170313115001
    18      14  170318261003
    19      14  170318207001
    20      14  170315104002

2010  |  block_groups_in_cbsa_16980_2010_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      66  170310609004
     2      23  170978630031
     3      21  170318209011
     4      19  170318432002
     5      19  170318208003
     6      18  170318202021
     7      17  170316609003
     8      16  170310401001
     9      16  170318318005
    10      16  170318388002
    11      16  170318352001
    12      15  170318285055
    13      15  170318113022
    14      15  170317608021
    15      14  170311302001
    16      14  170318117011
    17      14  170318041051
    18      14  170318100003
    19      14  170318418002
    20      14  170318207001

2020  |  block_groups_in_cbsa_16980_2020_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      84  170978630031
     2      21  170318209011
     3      19  170318208003
     4      19  170318432002
     5      18  170318202021
     6      18  180890203004
     7      17  170316609003
     8      17  170898507072
     9      16  170318388002
    10      16  170310401001
    11      16  170318318005
    12      15  170318285055
    13      15  170318100003
    14      15  170318113022
    15      15  170310814031
    16      15  170318041051
    17      15  171978841013
    18      14  170317404003
    19      14  170318261003
    20      14  170318207001
